Symbol,Resistance,Support,Logged_On,Timeline,Comments
BAJAJHLDNG,9356.55,7659.45,16-Jul-24,10,
BAJEL,328.2,174.31,16-Jul-24,10,
BALAMINES,2507.45,1958.2,16-Jul-24,10,
BALMLAWRIE,320.3,214.52,17-Jul-24,10,
BANKINDIA,158.35,109.78,17-Jul-24,10,
BARBEQUE,598.7,457.85,17-Jul-24,10,
BBL,3504.05,2457.6,17-Jul-24,10,
BCLIND,86.57,45.55,17-Jul-24,10,
BDL,1062.35,771.15,18-Jul-24,10,
BECTORFOOD,1332.2,964.8,18-Jul-24,10,
BEML,4189.7,2654.65,18-Jul-24,10,
BFUTILITIE,1013.9,557.25,18-Jul-24,10,
BIRLACORPN,1656,1311.2,18-Jul-24,10,
BLS,396.8,261.85,18-Jul-24,10,
BLSE,291,221.28,18-Jul-24,10,
BLUESTARCO,1894.5,927.7,18-Jul-24,10,
BODALCHEM,91.06,65.63,18-Jul-24,10,
BOMDYEING,196.29,133.9,18-Jul-24,10,
BOROLTD,390.25,286.1,18-Jul-24,10,
BORORENEW,583.55,424.65,18-Jul-24,10,
BRIGADE,1461,824.65,19-Jul-24,10,
BSE,3263.65,1936.7,19-Jul-24,10,
CAMLINFINE,113.04,79.37,19-Jul-24,10,
CAMPUS,305.4,212.43,19-Jul-24,10,
CAMS,4326.1,2812.15,19-Jul-24,10,
CAPACITE,333.55,209.74,19-Jul-24,10,
CAPLIPOINT,1629.2,1224.7,19-Jul-24,10,
CARTRADE,975.2,620.75,19-Jul-24,10,
CARYSIL,1149.15,722.2,19-Jul-24,10,
CASTROLIND,230.44,166.13,19-Jul-24,10,
CDSL,2535.65,1617.6,19-Jul-24,10,
CEATLTD,2995.4,2202.55,19-Jul-24,10,
CELLO,966.05,710.45,19-Jul-24,10,
CENTRALBK,77.2,55.73,19-Jul-24,10,
CENTRUM,46.85,25.19,19-Jul-24,10,
CENTUM,2104,1447.55,19-Jul-24,10,
CENTURYPLY,779.35,619.8,19-Jul-24,10,
CENTURYTEX,2280.45,1370.55,19-Jul-24,10,
CERA,9466.95,6576.55,19-Jul-24,10,
CESC,159.32,108.85,19-Jul-24,10,
CGPOWER,705.2,418.3,19-Jul-24,10,
CHALET,963.55,667.6,19-Jul-24,10,
CHENNPETRO,1127.85,822.2,19-Jul-24,10,
CHOLAHLDNG,1335.75,990,19-Jul-24,10,
CIEINDIA,560.15,405.25,19-Jul-24,10,
CIGNITITEC,1387.75,935.85,19-Jul-24,10,
CLEAN,1423.05,1240.25,19-Jul-24,10,
CMSINFO,503.55,354.94,19-Jul-24,10,
COCHINSHIP,2983.6,710.5,19-Jul-24,10,
COFFEEDAY,74.93,47.03,19-Jul-24,10,
CONFIPET,120.24,62.13,19-Jul-24,10,
CRAFTSMAN,4779.95,3767.15,19-Jul-24,10,
CREDITACC,1554,1185.7,19-Jul-24,10,
CRISIL,5271.2,3656.95,19-Jul-24,10,
CYIENT,2189.75,1659.55,19-Jul-24,10,
CYIENTDLM,884.3,578.4,19-Jul-24,10,
DATAPATTNS,3667.65,1744.7,19-Jul-24,10,
DBL,563.8,338.9,19-Jul-24,10,
DBREALTY,286.25,155.42,19-Jul-24,10,
DCAL,284.35,131.91,19-Jul-24,10,
DCBBANK,146.28,111.62,19-Jul-24,10,
DCW,72.44,45.63,19-Jul-24,10,
DCXINDIA,453.35,234.8,20-Jul-24,10,
DEEPAKFERT,752.35,448.3,20-Jul-24,10,
DELHIVERY,488.55,354.2,20-Jul-24,10,
DELTACORP,159.96,104.46,20-Jul-24,10,
DEN,69.58,43.12,20-Jul-24,10,
DEVYANI,194.92,142.64,20-Jul-24,10,
DHANI,57.1,33.04,20-Jul-24,10,
DMART,5225.5,4237.4,20-Jul-24,10,
DREAMFOLKS,582.5,440.35,20-Jul-24,10,
DWARKESH,81.95,61.69,20-Jul-24,10,
DYNAMATECH,9091.8,6181.05,20-Jul-24,10,
EASEMYTRIP,54.15,37.88,20-Jul-24,10,
EDELWEISS,87.76,62.19,20-Jul-24,10,
EIDPARRY,835.50,538.85,20-Jul-24,10,
EIHOTEL,504.05,376.40,20-Jul-24,10,
EKC,179.47,111.49,20-Jul-24,10,
ELECON,1412.20,688.30,20-Jul-24,10,
ELECTCAST,208.98,134.19,20-Jul-24,10,
ELGIEQUIP,799.50,538.75,20-Jul-24,10,
EMAMILTD,763.90,413.25,20-Jul-24,10,
EMUDHRA,837.20,415.05,20-Jul-24,10,
ENDURANCE,2495.65,1704.65,20-Jul-24,10,
ENGINERSIN,304.95,172.83,20-Jul-24,10,
ENTERO,1185.50,989.15,20-Jul-24,10,
EQUITASBNK,108.00,88.88,20-Jul-24,10,
ERIS,964.70,815.40,20-Jul-24,10,
ETHOSLTD,3043.00,2146.10,20-Jul-24,10,
EXICOM,531.50,169.45,20-Jul-24,10,
FACT,1186.50,574.20,20-Jul-24,10,
FCL,459.10,303.45,20-Jul-24,10,
FEDFINA,133.48,110.74,20-Jul-24,10,
FIEMIND,1312.75,980.50,20-Jul-24,10,
FILATEX,77.97,47.96,20-Jul-24,10,
FINCABLES,1181.95,829.25,20-Jul-24,10,
FINEORG,5131.25,4017.55,20-Jul-24,10,
FINPIPE,356.60,202.40,20-Jul-24,10,
FIVESTAR,863.85,598.15,20-Jul-24,10,
FLUOROCHEM,3925.95,2476.20,20-Jul-24,10,
FOODSIN,178.29,126.45,20-Jul-24,10,
FORCEMOT,10331.90,7184.55,20-Jul-24,10,
FORTIS,510.60,374.05,20-Jul-24,10,
FSL,229.37,175.67,20-Jul-24,10,
FUSION,541.60,418.90,20-Jul-24,10,
